"Stock.name","Year.of.first.stock.assessment"
"Chesapeake Bay blue crab","1997"
"GoMaine northern shrimp","1997"
"USNE barndoor skate","only relative indices"
"USNE winter skate","only relative indices"
"USSE scalloped hammerhead shark","2009"
"GoMex king mackerel","1983"
"sAtl king mackerel","1983"
"USWC black rockfish (northern)","1994"
"USWC kelp greenling (OR)","2005"
"USWC longspine thornyhead","1990"
"AI golden king crab","minimal information"
"GOA shortspine thornyhead","1995"
"SE Alaska geoduck","1985"
"SE Alaska sea cucumber","1990"
"SE Alaska spot shrimp","1996"
"Sharpchin rockfish - Pacific Coast","2013"
"Stripetail rockfish - Pacific Coast","2013"
